,lat1,lon1,lat2,lon2
156,34.01839888888889,-118.28248222222221,34.01840444444445,-118.2824211111111
157,34.01841,-118.28226,34.01841,-118.28223
158,34.01841,-118.28223,34.018415000000005,-118.28218
159,34.018415000000005,-118.28218,34.01842,-118.28213
160,34.01842,-118.28213,34.01842,-118.28208
161,34.01842,-118.28208,34.01843,-118.28202
162,34.01843,-118.28202,34.01843,-118.28198499999999
163,34.01843,-118.28198499999999,34.01843,-118.28195
164,34.01843,-118.28195,34.018435,-118.28189
165,34.018435,-118.28189,34.01844,-118.28183
166,34.01844,-118.28183,34.01844166666667,-118.28177
167,34.01844166666667,-118.28177,34.01844333333333,-118.28171
168,34.01844333333333,-118.28171,34.018445,-118.28165
169,34.018445,-118.28165,34.01844666666666,-118.28159
170,34.01844666666666,-118.28159,34.01844833333333,-118.28153
171,34.01844833333333,-118.28153,34.01845,-118.28147
172,34.01845,-118.28147,34.018451666666664,-118.28141
173,34.018451666666664,-118.28141,34.01845333333333,-118.28135
174,34.01845333333333,-118.28135,34.018454999999996,-118.28129
175,34.018454999999996,-118.28129,34.018456666666665,-118.28123
176,34.018456666666665,-118.28123,34.01845833333333,-118.28117
177,34.01846,-118.28107,34.01846,-118.281025
178,34.01846,-118.281025,34.01846,-118.28098
179,34.01846,-118.28098,34.01846,-118.280916
180,34.01846,-118.280916,34.01846,-118.280852
181,34.01846,-118.280852,34.01846,-118.280788
182,34.01846,-118.280788,34.01846,-118.28072399999999
183,34.01846,-118.28072399999999,34.01846,-118.28066
