route_no,latitude,longitude
37,34.0240059,-118.2914493
38,34.01835,-118.29146
38,34.01891,-118.29146
38,34.01933,-118.29146
38,34.01961,-118.29146
38,34.01996,-118.29146
38,34.0209,-118.29145
38,34.02136,-118.29145
38,34.022,-118.29145
38,34.02208,-118.29144
38,34.02276,-118.29145
38,34.02307,-118.29145
38,34.02311,-118.29145
38,34.02401,-118.29145
38,34.0247,-118.29145
38,34.02498,-118.29145
38,34.02541,-118.29145
38,34.0183477,-118.2914598
38,34.0254142,-118.2914484
39,34.01835,-118.29146
39,34.01891,-118.29146
39,34.01933,-118.29146
39,34.01961,-118.29146
39,34.01996,-118.29146
39,34.0209,-118.29145
39,34.02136,-118.29145
39,34.022,-118.29145
39,34.02208,-118.29144
39,34.02276,-118.29145
39,34.02307,-118.29145
39,34.02311,-118.29145
39,34.02401,-118.29145
39,34.0247,-118.29145
39,34.02498,-118.29145
39,34.0183477,-118.2914598
39,34.0249812,-118.2914527
40,34.01835,-118.29146
40,34.01891,-118.29146
40,34.01933,-118.29146
40,34.01961,-118.29146
40,34.01996,-118.29146
40,34.0209,-118.29145
40,34.02136,-118.29145
40,34.022,-118.29145
40,34.02208,-118.29144
40,34.02276,-118.29145
40,34.02307,-118.29145
40,34.02311,-118.29145
40,34.02401,-118.29145
40,34.0247,-118.29145
40,34.0183477,-118.2914598
40,34.0246952,-118.291451
41,34.01835,-118.29146
41,34.01891,-118.29146
41,34.01933,-118.29146
41,34.01961,-118.29146
41,34.01996,-118.29146
41,34.0209,-118.29145
41,34.02136,-118.29145
41,34.022,-118.29145
41,34.02208,-118.29144
41,34.02276,-118.29145
41,34.02307,-118.29145
41,34.02311,-118.29145
41,34.02401,-118.29145
41,34.0183477,-118.2914598
41,34.0240066,-118.2914493
42,34.01835,-118.29146
42,34.01891,-118.29146
42,34.01933,-118.29146
42,34.01961,-118.29146
42,34.01996,-118.29146
42,34.0209,-118.29145
42,34.02136,-118.29145
42,34.022,-118.29145
42,34.02208,-118.29144
42,34.02276,-118.29145
42,34.02307,-118.29145
42,34.02311,-118.29145
42,34.0183477,-118.2914598
42,34.023111,-118.2914465
43,34.01835,-118.29146
43,34.01891,-118.29146
43,34.01933,-118.29146
43,34.01961,-118.29146
43,34.01996,-118.29146
43,34.0209,-118.29145
43,34.02136,-118.29145
43,34.022,-118.29145
43,34.02208,-118.29144
43,34.02276,-118.29145
43,34.02307,-118.29145
43,34.0183477,-118.2914598
43,34.0230671,-118.2914476
44,34.01835,-118.29146
44,34.01891,-118.29146
44,34.01933,-118.29146
44,34.01961,-118.29146
44,34.01996,-118.29146
44,34.0209,-118.29145
44,34.02136,-118.29145
44,34.022,-118.29145
44,34.02208,-118.29144
44,34.02276,-118.29145
44,34.0183477,-118.2914598
44,34.0227629,-118.2914451
45,34.01835,-118.29146
45,34.01891,-118.29146
45,34.01933,-118.29146
45,34.01961,-118.29146
45,34.01996,-118.29146
45,34.0209,-118.29145
45,34.02136,-118.29145
45,34.0183477,-118.2914598
45,34.0213574,-118.2914548
46,34.01835,-118.29146
46,34.01891,-118.29146
46,34.01933,-118.29146
46,34.01961,-118.29146
46,34.01996,-118.29146
46,34.0209,-118.29145
46,34.02136,-118.29145
46,34.022,-118.29145
46,34.0183477,-118.2914598
46,34.0220021,-118.2914457
47,34.01835,-118.29146
47,34.01891,-118.29146
47,34.01933,-118.29146
47,34.01961,-118.29146
47,34.01996,-118.29146
47,34.0209,-118.29145
47,34.02136,-118.29145
47,34.022,-118.29145
47,34.0183477,-118.2914598
47,34.0220021,-118.2914457
48,34.01835,-118.29146
48,34.01891,-118.29146
48,34.01933,-118.29146
48,34.01961,-118.29146
48,34.01996,-118.29146
48,34.0209,-118.29145
48,34.02136,-118.29145
48,34.022,-118.29145
48,34.02208,-118.29144
48,34.0183477,-118.2914598
48,34.0220813,-118.2914449
49,34.01835,-118.29146
49,34.01891,-118.29146
49,34.01933,-118.29146
49,34.01961,-118.29146
49,34.01996,-118.29146
49,34.0209,-118.29145
49,34.02136,-118.29145
49,34.022,-118.29145
49,34.0183477,-118.2914598
49,34.0220021,-118.2914457
50,34.01835,-118.29146
50,34.01891,-118.29146
50,34.01933,-118.29146
50,34.01961,-118.29146
50,34.01996,-118.29146
50,34.0209,-118.29145
50,34.02136,-118.29145
50,34.022,-118.29145
50,34.0183477,-118.2914598
50,34.0220021,-118.2914457
51,34.01835,-118.29146
51,34.01838,-118.29146
51,34.01838,-118.29139
51,34.01837,-118.29088
51,34.01837,-118.29057
51,34.01837,-118.29048
51,34.01837,-118.29014
51,34.01837,-118.28952
51,34.01837,-118.28941
51,34.01838,-118.28904
51,34.01838,-118.28896
51,34.0183477,-118.2914598
51,34.0183762,-118.2889579
52,34.01835,-118.29146
52,34.01838,-118.29146
52,34.01838,-118.29139
52,34.01837,-118.29088
52,34.01837,-118.29057
52,34.01837,-118.29048
52,34.01837,-118.29014
52,34.01837,-118.28952
52,34.01837,-118.28941
52,34.01838,-118.28904
52,34.01838,-118.28896
52,34.0183477,-118.2914598
52,34.0183762,-118.2889579
53,34.01835,-118.29146
53,34.01838,-118.29146
53,34.01838,-118.29139
53,34.01837,-118.29088
53,34.01837,-118.29057
53,34.01837,-118.29048
53,34.01837,-118.29014
53,34.01837,-118.28952
53,34.01837,-118.28941
53,34.01838,-118.28904
53,34.01838,-118.28896
53,34.0183477,-118.2914598
53,34.0183762,-118.2889579
54,34.01835,-118.29146
54,34.01838,-118.29146
54,34.01838,-118.29139
54,34.01837,-118.29088
54,34.01837,-118.29057
54,34.01837,-118.29048
54,34.01837,-118.29014
54,34.01837,-118.28952
54,34.01837,-118.28941
54,34.01838,-118.28904
54,34.01838,-118.28896
54,34.0183477,-118.2914598
54,34.0183762,-118.2889579
55,34.01835,-118.29146
55,34.01838,-118.29146
55,34.01838,-118.29139
55,34.01837,-118.29088
55,34.01837,-118.29057
55,34.01837,-118.29048
55,34.01837,-118.29014
55,34.01837,-118.28952
55,34.01837,-118.28941
55,34.01838,-118.28904
55,34.01838,-118.28896
55,34.0183477,-118.2914598
55,34.0183762,-118.2889579
56,34.01835,-118.29146
56,34.01838,-118.29146
56,34.01838,-118.29139
56,34.01837,-118.29088
56,34.01837,-118.29057
56,34.01837,-118.29048
56,34.01837,-118.29014
56,34.01837,-118.28952
56,34.01837,-118.28941
56,34.01838,-118.28904
56,34.01838,-118.28896
56,34.0183477,-118.2914598
56,34.0183762,-118.2889579
57,34.01835,-118.29146
57,34.01838,-118.29146
57,34.01838,-118.29139
57,34.01837,-118.29088
57,34.01837,-118.29057
57,34.01837,-118.29048
57,34.01837,-118.29014
57,34.01837,-118.28952
57,34.01837,-118.28941
57,34.01838,-118.28904
57,34.01838,-118.28896
57,34.0183477,-118.2914598
57,34.0183762,-118.2889579
58,34.01835,-118.29146
58,34.01838,-118.29146
58,34.01838,-118.29139
58,34.01837,-118.29088
58,34.01837,-118.29057
58,34.01837,-118.29048
58,34.01837,-118.29014
58,34.01837,-118.28952
58,34.01837,-118.28941
58,34.01838,-118.28904
58,34.01838,-118.28896
58,34.0183477,-118.2914598
58,34.0183762,-118.2889579
59,34.01835,-118.29146
59,34.01838,-118.29146
59,34.01838,-118.29139
59,34.01837,-118.29088
59,34.01837,-118.29057
59,34.01837,-118.29048
59,34.01837,-118.29014
59,34.01837,-118.28952
59,34.01837,-118.28941
59,34.01838,-118.28904
59,34.01838,-118.28896
59,34.0183477,-118.2914598
59,34.0183762,-118.2889579
60,34.01835,-118.29146
60,34.01838,-118.29146
60,34.01838,-118.29139
60,34.01837,-118.29088
60,34.01837,-118.29057
60,34.01837,-118.29048
60,34.01837,-118.29014
60,34.01837,-118.28952
60,34.01837,-118.28941
60,34.01838,-118.28904
60,34.01838,-118.28896
60,34.01838,-118.28779
60,34.01838,-118.28742
60,34.01838,-118.28663
60,34.01838,-118.28659
60,34.0183477,-118.2914598
60,34.0183769,-118.286586
61,34.01835,-118.29146
61,34.01838,-118.29146
61,34.01838,-118.29139
61,34.01837,-118.29088
61,34.01837,-118.29057
61,34.01837,-118.29048
61,34.01837,-118.29014
61,34.01837,-118.28952
61,34.01837,-118.28941
61,34.01838,-118.28904
61,34.01838,-118.28896
61,34.01838,-118.28779
61,34.01838,-118.28742
61,34.01838,-118.28663
61,34.01837,-118.28612
61,34.01837,-118.28537
61,34.01837,-118.28534
61,34.0183477,-118.2914598
61,34.0183714,-118.2853411
62,34.01835,-118.29146
62,34.01838,-118.29146
62,34.01838,-118.29139
62,34.01837,-118.29088
62,34.01837,-118.29057
62,34.01837,-118.29048
62,34.01837,-118.29014
