,lon,lat
112,-118.28876000000001,34.01886
113,-118.2887587,34.018860700000005
114,-118.28903999999999,34.018409999999996
115,-118.28903000000001,34.01842
116,-118.28903000000001,34.018440000000005
117,-118.28901,34.01846
118,-118.28872,34.01892
119,-118.2887,34.01894
120,-118.28851999999999,34.019220000000004
121,-118.28825,34.01965
122,-118.28825390000002,34.0196513
123,-118.28863,34.01891
124,-118.28844,34.01918
125,-118.28818000000001,34.01962
126,-118.28792,34.02001
127,-118.28771,34.02035
128,-118.28766,34.02041
129,-118.28769,34.02042
130,-118.28766999999999,34.02044
131,-118.28764,34.02048
132,-118.2875,34.02069
133,-118.28742,34.02083
134,-118.2873,34.02101
135,-118.28721000000002,34.02117
136,-118.2872072,34.0211693
137,-118.2867,34.02199
138,-118.2867039,34.021994899999996
139,-118.288,34.02004
140,-118.28778,34.020379999999996
141,-118.287783,34.0203817
142,-118.28792140000002,34.020005100000006
143,-118.28770790000002,34.0203454
144,-118.28905,34.01834
145,-118.289048,34.0183433
146,-118.28903999999999,34.018390000000004
147,-118.28871540000002,34.0189231
148,-118.28895,34.018390000000004
149,-118.288953,34.018392
150,-118.28868999999999,34.018809999999995
151,-118.2886945,34.0188077
152,-118.28863999999999,34.01889
153,-118.28868,34.01883
154,-118.28866000000001,34.01892
155,-118.2886639,34.0189236
156,-118.28895370000001,34.018389899999995
157,-118.2889491,34.018404499999995
158,-118.28862520000001,34.0189071
159,-118.2881,34.018679999999996
160,-118.28796000000001,34.01863
161,-118.28777,34.01854
162,-118.28757,34.01846
163,-118.28748999999999,34.01843
164,-118.28743999999999,34.018409999999996
165,-118.28743,34.01838
166,-118.2874265,34.0183798
167,-118.2889514,34.018398299999994
168,-118.28863,34.0189
169,-118.2886633,34.018856400000004
170,-118.2886271,34.018904600000006
171,-118.28878,34.01895
172,-118.28878449999999,34.018954
173,-118.28931000000001,34.01919
174,-118.2893058,34.0191869
175,-118.28985,34.01943
176,-118.2898509,34.019425299999995
177,-118.29014,34.01956
178,-118.2901415,34.019563
179,-118.28935,34.01912
180,-118.28988999999999,34.01936
181,-118.29018,34.0195
182,-118.29055,34.019659999999995
183,-118.290548,34.0196601
184,-118.29072,34.019729999999996
185,-118.29072099999999,34.0197285
186,-118.29047,34.019709999999996
187,-118.29055,34.019740000000006
188,-118.29068000000001,34.01979
189,-118.29096000000001,34.0199
190,-118.29096240000001,34.019903799999994
191,-118.29123999999999,34.02003
192,-118.29123770000001,34.0200265
193,-118.2904699,34.019707200000006
194,-118.28883,34.01889
195,-118.2888257,34.0188907
196,-118.28864170000001,34.018885100000006
197,-118.2894,34.01914
198,-118.28939540000002,34.0191448
199,-118.28989270000001,34.0193623
200,-118.291,34.01984
201,-118.29126000000001,34.01995
202,-118.2912601,34.0199549
203,-118.29054740000002,34.0197396
204,-118.28935,34.01921
205,-118.2893549,34.0192084
206,-118.29058,34.01967
207,-118.2905848,34.0196746
208,-118.28933,34.01916
209,-118.2893,34.01918
210,-118.28929,34.019220000000004
211,-118.28928,34.01927
212,-118.2893262,34.0191552
213,-118.28927970000001,34.0192665
214,-118.28987,34.01939
215,-118.28988000000001,34.01939
216,-118.28987179999999,34.019393799999996
217,-118.28985300000001,34.0194263
218,-118.29008999999999,34.01954
219,-118.2900898,34.0195385
220,-118.28987,34.0194
221,-118.2898,34.01951
222,-118.28965,34.019740000000006
223,-118.28963,34.01976
224,-118.28962,34.01977
225,-118.28961000000001,34.01977
226,-118.2896,34.01977
227,-118.28958999999999,34.01977
228,-118.28955,34.01975
229,-118.28943000000001,34.019690000000004
230,-118.28923,34.01959
231,-118.28908999999999,34.01951
232,-118.28891999999999,34.0194
233,-118.2885179,34.019217299999994
234,-118.2884409,34.019184
235,-118.29013,34.01948
236,-118.2901328,34.0194761
237,-118.2910007,34.01983920000001
238,-118.2893,34.01919
239,-118.2893031,34.019185799999995
240,-118.29048999999999,34.01968
241,-118.29051000000001,34.01964
242,-118.29049009999999,34.0196754
243,-118.2906836,34.0197935
244,-118.29123,34.02002
245,-118.2912283,34.0200224
246,-118.29003999999999,34.02039
247,-118.29001000000001,34.02043
248,-118.28979,34.02078
249,-118.28956000000001,34.02115
250,-118.28963,34.02118
251,-118.28963290000002,34.021181899999995
252,-118.29006000000001,34.02035
253,-118.29013,34.02039
254,-118.2901342,34.020387899999996
255,-118.29003999999999,34.020379999999996
256,-118.29002,34.02042
257,-118.29008999999999,34.02045
258,-118.2900939,34.0204517
259,-118.28952,34.021209999999996
260,-118.28901,34.022
261,-118.28908999999999,34.02203
262,-118.28908829999999,34.0220307
263,-118.2895162,34.0212114
264,-118.2885,34.02281
